Resource,Tika Format,Tika Format - no ext,Fidget Format,Fidget Format - no ext
"video/Quicktime/dvcpro-hd-720p50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro-hd-720p60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro-pal-interlaced.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro-pal-progressive.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro50-ntsc-interlaced.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro50-ntsc-progressive.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro50-pal-interlaced.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/dvcpro50-pal-progressive.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-1080i50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-1080i60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-1080p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-1080p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-1080p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-720p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-720p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-720p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-720p50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/hdv-720p60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/jpeg2000.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/mpeg-imx-525-60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/photo-jpeg.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/png.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/README.md","text/plain","text/plain","text/plain","text/plain"
"video/Quicktime/xdcam-ex-1080i50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-1080i60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-1080p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-1080p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-1080p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-720p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-720p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-720p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-720p50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-ex-720p60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd-1080i50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd-1080i60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd-1080p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd-1080p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd-1080p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-1080i50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-1080i60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-1080p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-1080p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-1080p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-720p24.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-720p25.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-720p30.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-720p50.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
"video/Quicktime/xdcam-hd422-720p60.mov","video/quicktime","video/quicktime","video/quicktime","video/quicktime"
